Region,yeti tumbler: (9/17/19 - 9/17/24),stanley tumbler: (9/17/19 - 9/17/24),hydroflask: (9/17/19 - 9/17/24)
New Hampshire,26%,23%,51%
Maine,29%,25%,46%
Pennsylvania,28%,29%,43%
Michigan,30%,31%,39%
Wisconsin,28%,26%,46%
Massachusetts,25%,21%,54%
Minnesota,24%,26%,50%
Rhode Island,28%,24%,48%
West Virginia,28%,43%,29%
Vermont,23%,18%,59%
Connecticut,27%,22%,51%
Delaware,29%,27%,44%
North Dakota,20%,34%,46%
Ohio,26%,34%,40%
Hawaii,14%,15%,71%
Nebraska,20%,30%,50%
Indiana,24%,37%,39%
Texas,24%,36%,40%
Wyoming,21%,26%,53%
Illinois,23%,31%,46%
Iowa,19%,32%,49%
South Carolina,28%,36%,36%
New Jersey,25%,25%,50%
Maryland,27%,26%,47%
Virginia,23%,28%,49%
North Carolina,24%,33%,43%
Missouri,22%,39%,39%
Idaho,16%,30%,54%
Tennessee,20%,43%,37%
South Dakota,17%,31%,52%
Kansas,20%,37%,43%
Montana,18%,23%,59%
Colorado,17%,19%,64%
Arkansas,23%,45%,32%
New Mexico,24%,26%,50%
Arizona,14%,30%,56%
Kentucky,20%,45%,35%
Oklahoma,21%,49%,30%
Alabama,21%,45%,34%
New York,27%,24%,49%
Georgia,25%,36%,39%
Florida,25%,35%,40%
Mississippi,23%,48%,29%
California,12%,17%,71%
Washington,15%,20%,65%
Louisiana,24%,44%,32%
Utah,8%,51%,41%
District of Columbia,20%,16%,64%
Oregon,11%,15%,74%
Alaska,13%,18%,69%
Nevada,11%,20%,69%