Region,yeti tumbler: (11/15/23 - 9/17/24),stanley tumbler: (11/15/23 - 9/17/24),hydroflask: (11/15/23 - 9/17/24)
New Hampshire,21%,45%,34%
Hawaii,13%,32%,55%
West Virginia,17%,67%,16%
Delaware,21%,51%,28%
Maine,18%,46%,36%
Michigan,18%,60%,22%
Rhode Island,18%,46%,36%
Pennsylvania,17%,57%,26%
Wisconsin,19%,50%,31%
Texas,17%,57%,26%
Iowa,16%,54%,30%
Connecticut,17%,48%,35%
Idaho,15%,45%,40%
South Carolina,19%,58%,23%
Minnesota,17%,48%,35%
Montana,14%,40%,46%
Massachusetts,18%,43%,39%
Mississippi,16%,69%,15%
South Dakota,15%,49%,36%
Vermont,14%,39%,47%
Ohio,16%,62%,22%
North Carolina,17%,57%,26%
North Dakota,15%,51%,34%
Maryland,19%,47%,34%
Oklahoma,17%,63%,20%
Alabama,16%,64%,20%
New Mexico,16%,47%,37%
Kentucky,15%,65%,20%
Nebraska,14%,50%,36%
Virginia,17%,54%,29%
New Jersey,16%,53%,31%
Tennessee,16%,60%,24%
Missouri,16%,58%,26%
Georgia,17%,61%,22%
Illinois,15%,57%,28%
Indiana,15%,61%,24%
Alaska,14%,31%,55%
Arkansas,15%,66%,19%
Arizona,13%,44%,43%
Wyoming,13%,47%,40%
Colorado,15%,36%,49%
Kansas,13%,58%,29%
California,10%,35%,55%
Florida,16%,61%,23%
Louisiana,15%,66%,19%
Washington,13%,36%,51%
Oregon,10%,33%,57%
Nevada,10%,40%,50%
New York,15%,49%,36%
District of Columbia,15%,30%,55%
Utah,9%,54%,37%